project_id,period,baseline_budget,baseline_duration_months,PV,EV,AC,CPI,SPI,forecast_duration_months,forecast_EAC,late_flag,overrun_flag,risk_state
194,8,807018.1445614987,18,376825.33462770743,387546.47804174776,388744.4324229175,0.9969184011878877,1.0284512277409175,17.50204532259499,809512.7380534741,0,0,0
352,8,1003234.1164114992,16,513684.07878827694,498526.77650495543,476699.99586133024,1.0457872473948469,0.9704929490532861,16.4864670223601,959309.9542097579,0,0,1
230,2,1117997.3004978471,13,176294.07742704928,167197.72523544542,200969.7473413976,0.8319546968998179,0.9484023948826759,13.707261886035402,1343819.9275320321,1,1,2
247,15,1092593.0983744103,19,853701.0407956411,822024.7398886913,967018.1325082476,0.8500613507179302,0.9628953235462525,19.73215523575792,1285310.874858205,0,1,2
242,1,1312281.9045103062,16,84069.00990699527,87704.53194513774,83218.82918689155,1.053902497812992,1.0432444968980177,15.336769134727657,1245164.4314663745,0,0,0
209,7,1432492.5333671242,7,1442511.9733099495,1426060.91457152,1427760.899166836,0.9988093352351167,0.9885955478756399,7.080752098309635,1434200.1849931846,0,0,1
41,12,957697.8277097186,18,666062.4803780552,699481.3757431827,702007.0635397576,0.9964021903371748,1.0501738145438833,17.140019824068695,961155.8836353432,0,0,1
124,4,895344.3144043382,18,201611.4753829921,191764.67250244424,185019.015329444,1.0364592642598869,0.9511595118192437,18.924270615316814,863849.0148898271,1,0,1
361,5,1118799.0017695413,21,259115.26705828292,222332.584120739,252332.89339759652,0.8811082103767321,0.8580450957014802,24.474238131775355,1269763.4508378722,1,1,2
17,20,951168.2482720702,20,948165.6726085298,984225.242823133,989076.5623075917,0.9950951021697045,1.0380308750425424,19.267249636654906,955856.6273697296,0,0,2
127,5,1123609.9713455408,16,374822.0239497122,355893.3119381095,367949.56502148893,0.9672339520698298,0.9494994669412962,16.85098365725488,1161673.4182470276,1,0,1
101,13,1019793.5951993859,20,668906.4817235507,643648.5513456772,736176.4195839724,0.8743129149795582,0.9622399676666428,20.784836082519465,1166394.293996251,0,1,2
302,19,935102.4753095408,19,931584.4952071442,935918.0777195795,910823.8200034809,1.0275511654010132,1.0046518405305487,18.912024278944486,910030.085893199,0,0,1
75,7,968375.5429965749,17,400777.00391161017,389231.1695438276,404561.2387129951,0.9621069254732953,0.9711913751161008,17.504274065415522,1006515.5102383198,0,0,0
61,17,975815.5853228797,25,691126.4785413396,690252.4017069798,720298.9683465386,0.9582859785173213,0.9987352867217524,25.03165787008485,1018292.6675319622,0,0,1
238,11,1146614.5751074508,17,738246.2025191978,688463.2282476551,808310.2128054239,0.8517314483237659,0.9325658918370824,18.229274895001062,1346216.0841472088,1,1,2
27,15,1090749.006351831,22,806444.8892275973,730395.0435677959,816952.4588388614,0.8940484059573185,0.9056974051473735,24.29067354611687,1220011.130363676,1,1,2
404,18,725091.5842521104,22,616985.0006464774,664488.0140146281,571641.8447706202,1.162420176362813,1.0769921688831607,20.42726088047044,623777.5281231834,0,0,0
105,1,1006954.0114374559,18,58834.21514939224,59067.79820673762,59465.077046857004,0.9933191234275819,1.003970190759786,17.9288191678061,1013726.5936880637,0,0,1
395,12,1012321.4831937917,15,825952.0435005012,853754.0772812556,810379.5745219372,1.0535236870757831,1.0336605908291303,14.511533218044086,960891.0512526259,0,0,0
330,8,1154485.1072393141,14,656767.6533680559,682422.4934508294,638495.6190593257,1.0687974562084228,1.0390622771252658,13.473687100578099,1080172.0199960708,0,0,0
137,2,1035951.1365394449,25,82850.07248581262,85005.91732594554,80413.37997454152,1.0571116069596627,1.0260210374650196,24.36597212642663,979982.74706199,0,0,1
95,15,1032981.6044535049,15,977493.4165056264,871327.947452896,950378.1070511574,0.9168224109838358,0.8913900930072205,16.827649440656838,1126697.5938611922,1,1,1
73,4,968984.175467216,18,209440.41960547445,203589.84526070292,215653.5723869372,0.9440596926231813,0.9720656864811847,18.517267145967104,1026401.3844026949,0,1,0
388,10,1059811.3784898147,11,1008652.0179774085,1080802.1204278285,988025.8108941887,1.093900694203196,1.071531213108658,10.265683225491399,968836.9192066268,0,0,0
202,1,1114409.8109774261,9,125290.38163178315,126544.40668106497,121805.11754307467,1.038908785062453,1.010008949074537,8.91081213512675,1072673.3925061906,0,0,0
258,9,917624.3419608001,15,542307.6339888184,506691.52726979565,523272.26559469185,0.968313363013703,0.9343249025335367,16.054372477203227,947652.2549527332,1,0,1
137,13,892035.9002574019,13,852374.9276197258,884864.1639338108,879063.1907258864,1.0065990400566474,1.0381161332429285,12.52268371881461,886187.9107367336,0,0,0
17,12,1131708.78683623,12,1142857.2944413016,1107640.5418735961,1141560.9928221854,0.9702859057362055,0.9691853455903945,12.381532649660537,1166366.3051742925,0,0,1
118,10,947675.0958207013,24,399653.69204700267,413674.7051563406,419480.77431967115,0.986158914737518,1.0350829064971805,23.186548487423384,960976.0472255531,0,0,0
98,3,1023069.6520804303,24,123808.9206966977,127976.09128542975,122630.18699052893,1.043593705808454,1.0336580802520734,23.218509542485492,980333.2909984121,0,0,1
297,1,1051170.1665252948,18,54173.91144145631,55472.450622877746,54962.92142182717,1.0092704169987627,1.0239698250849898,17.57864300201033,1041514.8891920642,0,0,0
390,11,1213195.418015454,19,703338.5767975533,709729.7321292505,694247.0770027516,1.0223013616324343,1.009086882964386,18.828903953427538,1186729.729165376,0,0,1
59,1,1297179.9998030446,20,61501.31151694037,65149.70115772757,60034.59507117368,1.0852026415850677,1.0593221437201752,18.879998042675762,1195334.3551655556,0,0,0
184,10,921563.1497457084,15,594657.7269954508,613849.0788792565,573351.1823569897,1.070633667058615,1.0322729378810418,14.531040628451104,860764.2166508246,0,0,0
216,4,1080107.340925594,17,250339.9817865459,246369.6773899758,240048.21672827427,1.0263341288173666,0.9841403503817645,17.273958936248693,1052393.4755732908,0,0,1
470,19,1154513.441986854,20,1083645.321388108,1047845.8988189063,1063210.9008002195,0.9855484909252258,0.9669638932013807,20.683295561104043,1171442.554696629,0,0,0
49,22,898181.7739236732,22,891560.7163123388,779938.8162494532,949683.583802302,0.8212617650257447,0.8748016842592902,25.148556976805303,1093660.7695300623,1,1,2
222,11,1041796.0784062279,23,515188.6806676795,550443.7543805656,555449.3756416716,0.9909881593523742,1.0684313825901528,21.526885464784904,1051269.955724857,0,0,1
137,14,886330.4940394986,18,694329.327130708,689325.4987348035,769269.1151220807,0.8960784791488863,0.9927932924616872,18.13066238125761,989121.5051625316,0,1,1
402,15,964445.0677189161,16,937939.1629347388,927928.649481769,951634.4619716208,0.9750893715631761,0.9893271185930144,16.172608330755786,989083.7659042514,0,0,1
59,14,1171189.8954265555,14,1183494.8555888755,1210193.0864296777,1157016.3098948528,1.0459602652789375,1.022558805992881,13.69114413562389,1119726.947862806,0,0,1
16,8,967295.6307843367,22,328838.84608148696,341923.97933396266,329833.06481664965,1.0366576787079675,1.0397919327609888,21.15807913760475,933090.6919919024,0,0,1
420,17,992540.7476090565,19,929229.9179719946,826827.8710058432,990627.515506237,0.8346506210089593,0.8897990206884001,21.35313656032179,1189169.1237337526,1,1,2
243,12,892115.0028179367,22,498789.72022673197,516963.8430110988,523455.369358358,0.9875987013845777,1.0364364421466135,21.226578982918372,903317.3105303032,0,0,2
303,10,1075026.0508664402,10,1045162.406856711,1098527.8503166111,1036790.4082808295,1.0595466948215237,1.0510594746900577,9.514209462741256,1014609.4137432271,0,0,1
426,20,1001669.8493218924,22,932586.4903694353,903089.5623005705,954720.3862314387,0.9459204761148233,0.9683708391945719,22.718569281059903,1058936.6385597745,0,1,0
24,7,964580.4862333022,15,456688.32935581997,454664.8816250551,446859.06449751835,1.017468185716036,0.9955693027373416,15.06675623561026,948020.291715053,0,0,1
395,1,1026372.7460726063,21,51701.73025535454,53361.51032459316,47597.818593303855,1.1210915101075694,1.0321029888369495,20.34680669190229,915512.0137999486,0,0,0
476,10,1155644.6732353189,15,785425.3329244315,839972.4166139967,773347.8221765335,1.0861508787209784,1.0694491015288061,14.02591294766352,1063981.713660421,0,0,0
105,11,1223192.190369523,21,641395.3688452337,641305.3857077,591413.5438093048,1.0843603302978844,0.99985970722287,21.002946561701055,1128031.113083508,0,0,0
269,7,1096543.9403741322,17,454830.08848520427,407206.10150629375,475910.6852192273,0.8556355512772635,0.8952927957393484,18.98820149218458,1281554.908205075,1,1,2
38,2,1149378.808655854,14,159746.2440403276,161655.68861263548,149277.58239461185,1.0829200608655518,1.0119529857104235,13.834634807833044,1061369.9479693666,0,0,0
25,4,1099005.6237685503,25,171813.58410794195,163271.57016819666,177487.2343307487,0.9199059908947533,0.950283244575244,26.307945702204247,1194693.4085075306,1,1,1
91,14,1135968.7181218546,15,1029417.8633316914,979706.6406319909,1024208.3111000442,0.9565501763793963,0.9517093840407908,15.761113898354807,1187568.3536242384,1,0,1
45,6,864035.3411084255,19,272270.72125381435,277377.26976849174,247052.69509725756,1.1227453708177368,1.0187554081877095,18.650207741031377,769573.7284395274,0,0,1
